nama_data,value
Jawa Barat,35714901
Jawa Timur,31402838
Jawa Tengah,28289413
Sumatra Utara,10853940
Banten,8842646
DKI Jakarta,8252897
Sulawesi Selatan,6670582
Lampung,6539138
Sumatra Selatan,6326348
Riau,4732174
Sumatra Barat,4088606
Nusa Tenggara Timur,4008475
Kalimantan Barat,3958561
Nusa Tenggara Barat,3918291
Aceh,3749037
Bali,3269516
Kalimantan Selatan,3025220
DI Yogyakarta,2870974
Kalimantan Timur,2778644
Jambi,2676107
Sulawesi Tengah,2236703
Sulawesi Utara,1969603
Kalimantan Tengah,1935116
Sulawesi Tenggara,1867931
Kep. Riau,1500974
Bengkulu,1494828
Maluku,1341012
Papua Pegunungan,1306414
Papua Tengah,1128844
Kep. Bangka Belitung,1067434
Sulawesi Barat,985760
Maluku Utara,953978
Gorontalo,881206
Papua,727835
Kalimantan Utara,504252
Papua Barat Daya,440826
Papua Barat,385465
Papua Selatan,367269
